Czech,English
to,it
se,with
je,is
a,and
že,that
jsem,I am
na,on
co,what
v,in
si,you are
tak,so
ale,but
ne,No
s,with
jsi,you are
já,I
mi,me
mě,me
o,O
do,to
jak,as
ty,you
z,from
jo,yeah
jste,you are
už,already
když,when
jen,just
jsme,we are
jako,like
tu,here
za,for
ho,him
ti,you
by,would
tady,here
ano,Yes
pro,for
dobře,good
není,it isn't
byl,was
tě,you
něco,something
proč,why
teď,now
no,well
k,to
tam,PUSH
tohle,this
mám,i have
jsou,they are
ten,the
být,be
toho,that
bude,will be
bych,I would
vás,your
nic,nothing
takže,so
má,has
ve,in
vám,you
nebo,or
kdo,who
aby,that
tom,tom
byla,she was
ji,her
bylo,was
kde,where
ještě,still
i,and
po,after
pane,Sir
protože,because
než,than
můj,my
jeho,his
od,from
myslím,i think
tím,by that
jestli,if
máš,you have
měl,had
vím,i know
nás,our
všechno,all
možná,maybe
víš,you know
nikdy,never
prosím,Please
moc,urine
mu,him
vy,you
ani,or
chci,i want
taky,too
nevím,i don't know
až,until
pokud,if
moje,mine
tebe,you
pak,then
nám,us
ahoj,Hi
ta,the
jí,her
díky,Thanks
říct,to say
sem,PULL
máme,we have
řekl,he said
u,at
chceš,you want
musím,i have to
budu,i will
před,before
pořádku,ok
jít,go
opravdu,really
on,he
někdo,someone
tomu,to that
asi,about
všichni,all
trochu,a little
mít,have
hej,Hey
vážně,seriously
myslíš,you think
dobrý,good
abych,to
pořád,all the time
který,who
mohl,he could
měla,she had
ze,that
bys,you would
my,we
máte,you have
rád,order
které,which
dělat,do
musíme,we have to
nemůžu,i can't
všechny,all of them
prostě,just
víc,more
den,day
chtěl,he wanted
udělat,do
můžu,i can
dva,two
stalo,happened
mnou,by me
jenom,only
kdy,when
jde,it goes
budeš,you will
vaše,yours
tvůj,your
další,other
ní,her
pojď,come on
kvůli,due to
měli,they had
může,can
dost,enough
jeden,one
oh,oh
nikdo,no one
bože,god
bez,without
ať,let
lidi,people
můžeš,you can
své,yours
dnes,today
víte,you know
život,life
pár,few
tebou,by you
právě,just
musí,must
dobrá,Good
mně,me
jasně,clearly
děláš,you do
sakra,hell
děkuji,Thank you
velmi,very
hodně,much
udělal,he did
její,its
budeme,we will
takhle,like this
jim,them
věci,things
ses,you
hned,brown
musíš,you have to
děje,going on
proto,therefore
té,the one
tvoje,yours
říkal,he said
vůbec,at all
pravdu,the truth
nejsem,I'm not
ona,she
nechci,I don't want to
zpátky,back
bychom,we would
vědět,know
první,first
naše,ours
místo,place
nemám,i don't have
práci,work
byli,they were
můžeme,we can
práce,work
vypadá,looks like
řekla,she said
přesně,exactly
chce,he wants
myslel,thought
byste,you would
něj,him
kam,where
let,flight
kdyby,if
čas,time
tři,three
jejich,their
mé,me
svou,my own
vždycky,always
dlouho,long
podívej,look
viděl,he saw
věc,thing
domů,home
pryč,away
mluvit,speak
zase,again
ním,by him
dobré,good
tobě,thee
sám,alone
jdeme,we are going
sebe,myself
chcete,you want
někdy,sometimes
promiň,sorry
abys,that you
stejně,anyway
jednou,once
můžete,you can
dál,go on
ráda,advice
která,that
ke,to
vlastně,actually
vidět,see
mohla,she could
peníze,money
cože,what
počkej,wait
hele,Hey
omlouvám,I'm sorry
každý,each
noc,night
dostat,get
lidé,people
nejlepší,best
fajn,Okay
spolu,together
určitě,certainly
poslední,last
váš,your
řekni,say
nějaké,some
večer,evening
nebude,won't be
dej,plot
chtěla,she wanted
ráno,morning
dítě,child
problém,problem
budou,they will
žádné,none
říká,he says
mají,they have
někoho,someone
jistě,sure
mezi,between
fakt,fact
děti,children
paní,Ms
ok,okay
také,also
přišel,he came
nějaký,some
rychle,quick
nech,let
podle,according to
sis,sis
znamená,means
budete,you will
pravda,truth
svůj,its
vše,all
kolik,pin
zlato,gold
dvě,two
mami,mom
těch,those
lepší,better
chvíli,a while
žádný,no
znovu,again
nebyl,he wasn't
pod,under
snad,perhaps
kterou,which one
otec,father
úplně,completely
jedna,one
pohodě,cool
lidí,people
při,at
promiňte,Excuse me
tenhle,this one
samozřejmě,Of course
dokud,until
třeba,for example
celý,whole
najít,find
čem,what
jméno,name
ven,out
dát,give
jdu,i'm going
myslíte,you mean
náš,our
stále,still
zrovna,just
tati,dad
kurva,whore
mohli,they could
potom,then
žena,woman
muž,man
dostal,got
přes,over
dělá,does
zítra,tomorrow
byly,were
člověk,human
dal,he gave
potřebuju,i need
proti,against
mého,mine
pomoc,Help
vidím,i see
jedno,doesn't matter
myslela,she thought
nich,them
líto,sorry
dneska,today
nemůžeš,you can't
věděl,he knew
ví,he knows
děkuju,Thank you
nemá,doesn't have
neměl,he didn't have
svého,your own
jaký,what
pomoct,help
musíte,you have to
říkám,I say
muset,have to
auto,car
tvé,yours
jdi,go
doma,at home
doufám,i hope
oni,they
kdybych,if i
abyste,in order to
jednu,one
štěstí,luck
sama,alone
vlastní,own
tolik,so many
kteří,who
celou,the whole
sobě,to myself
tedy,therefore
nebudu,i won't
teda,so
vzít,take
pan,Mr
říkala,she said
nechat,let
pojďme,let's go
vámi,by you
běž,without
příliš,too
nejsou,they are not
řeknu,I will say
líbí,like
zabít,kill
námi,us
toto,this
kámo,dude
minut,minutes
uvidíme,we'll see
našel,found
nebylo,it wasn't
jaké,what kind
slyšel,heard
sebou,with myself
udělala,she did
abychom,so that
viděla,she saw
musel,he had to
zabil,killed
všem,to everyone
přece,after all
matka,mother
nemůže,can't
táta,dad
myslí,he thinks
máma,mom
tento,this
tyhle,these
chlap,guy
přímo,direct
což,which
přestaň,stop it
stát,state
nějak,somehow
podívejte,Look
počkat,wait
nejsi,you are not
nemáš,you don't have
nebyla,she wasn't
miluju,i love
vždy,always
včera,yesterday
koho,whom
nápad,idea
pět,five
pozor,Attention
oba,both
vidíš,you see
mou,mine
pojďte,come on
noci,night
skoro,almost
kolem,around
jinak,otherwise